# ----------------------------------------
# Reports snapshot
# Account: FleaFind
# Property: FleaFind
# ----------------------------------------
#  
# Start date: 20260708
# End date: 20260804
Active users,New users,Average engagement time per active user,Event count
522,499,48.934865900383144,4801

#  
# Start date: 20260708
# End date: 20260804
Page title and screen class,Views,Active users,Event count,Bounce rate
0 Flohmärkte am 1. August - 7. August 2026 in Winterthur | FleaFind,2,1,2,0
0 Flohmärkte am 2. August - 8. August 2026 in Bern | FleaFind,2,1,4,0.5
0 Flohmärkte am 2. August - 8. August 2026 in Freiburg | FleaFind,2,1,2,0
0 Flohmärkte am Sonntag in Chur | FleaFind,2,1,2,0
0 Flohmärkte am Wochenende in Basel — 31. Juli - 2. August 2026 | FleaFind,2,1,2,0
0 Flohmärkte vom 2. bis 8. August 2026 in Winterthur | FleaFind,2,1,2,0
0 flea markets on 14 July - 27 July 2026 in Winterthur | FleaFind,2,1,2,0
0 flea markets on 2 August - 8 August 2026 in Winterthur | FleaFind,2,1,2,0
0 flea markets on July 2026 in Lugano | FleaFind,2,1,2,0
0 mercatini di Domenica a Basilea | FleaFind,2,1,2,0
1 Flohmarkt am 1. August - 7. August 2026 in Schaffhausen | FleaFind,2,1,3,0
1 Flohmarkt am 1. August - 7. August 2026 in Zürich | FleaFind,2,1,2,0
1 Flohmarkt am 24. Juli - 26. Juli 2026 in Baden | FleaFind,2,1,2,0
"1 Flohmarkt am Samstag, 25. Juli 2026 in Bern | FleaFind",2,2,8,0
1 Flohmarkt am Wochenende in Zürich — 31. Juli - 2. August 2026 | FleaFind,2,1,3,0
1 Flohmarkt vom 2. bis 8. August 2026 in Luzern | FleaFind,2,1,2,0
1 Flohmarkt vom 2. bis 8. August 2026 in St. Gallen | FleaFind,2,1,3,0
1 flea market on 11 July - 12 July 2026 | FleaFind,2,1,2,0
1 flea market on 14 July - 20 July 2026 in Thun | FleaFind,2,1,2,0
1 flea market on 2 August - 8 August 2026 in Lucerne | FleaFind,2,1,2,0
1 flea market on 2 August - 8 August 2026 in St. Gallen | FleaFind,2,1,2,0
1 flea market on 24 July - 26 July 2026 in Fribourg | FleaFind,2,1,2,0
1 flea market this weekend in Lugano — 31 July - 2 August 2026 | FleaFind,2,1,2,0
1 flea market this weekend in Thun — 17 July - 19 July 2026 | FleaFind,2,1,2,0
1 marché aux puces le Samedi à Lausanne | FleaFind,2,1,2,0
11 flea markets on 18 July - 24 July 2026 | FleaFind,2,1,2,0
12 Flohmärkte am 31. Juli - 2. August 2026 | FleaFind,2,1,2,0
12 flea markets on 31 July - 2 August 2026 | FleaFind,2,1,2,0
12 flea markets on August 2026 in Zurich | FleaFind,2,1,2,0
12 marches aux puces le 31 juillet - 2 août 2026 | FleaFind,2,1,2,0
"15 Flohmärkte am Samstag, 1. August 2026 | FleaFind",2,1,3,0
"15 flea markets on Saturday, 1 August 2026 | FleaFind",2,1,2,0
16 Flohmärkte am 1. August - 7. August 2026 | FleaFind,2,1,2,0
16 Flohmärkte am 14. Juli - 20. Juli 2026 | FleaFind,2,1,2,0
16 Flohmärkte am 15. Juli - 21. Juli 2026 | FleaFind,2,1,3,0
16 flea markets on 14 July - 20 July 2026 | FleaFind,2,1,2,0
2 Flohmärkte am 17. Juli - 19. Juli 2026 | FleaFind,2,1,2,0
2 Flohmärkte am 24. Juli - 26. Juli 2026 | FleaFind,2,1,3,0
2 flea markets on 26 July - 1 August 2026 in Basel | FleaFind,2,1,2,0
2 flea markets on 29 July - 4 August 2026 in Basel | FleaFind,2,1,4,0
2 flea markets on 9 July - 15 July 2026 in Basel | FleaFind,2,1,2,0
2 flea markets this weekend in Bern — 17 July - 19 July 2026 | FleaFind,2,1,2,0
2 flea markets this weekend in Geneva — 7 August - 9 August 2026 | FleaFind,2,1,2,1
2 marchés aux puces ce week-end à Bâle — 17 juillet - 19 juillet 2026 | FleaFind,2,1,3,0
2 marchés aux puces ce week-end à Lausanne — 31 juillet - 2 août 2026 | FleaFind,2,1,2,0
2 بازاڕی مێروولە لە ڕۆژی یەکشەممە 26ی تەمموزی 2026 | FleaFind,2,1,2,0
"23 Flohmärkte am Samstag, 5. September 2026 | FleaFind",2,1,2,0
25 flea markets on 11 July - 17 July 2026 | FleaFind,2,1,4,0
28 flea markets on 9 July - 15 July 2026 | FleaFind,2,1,2,0
3 Flohmärkte am Samstag in Zürich | FleaFind,2,1,3,0
3 Flohmärkte vom 2. bis 8. August 2026 in Zürich | FleaFind,2,1,2,0
3 flea markets on 2 August - 8 August 2026 in Zurich | FleaFind,2,1,2,0
"3 flea markets on Sunday, 12 July 2026 | FleaFind",2,1,2,0
3 mercatini il 2 agosto - 8 agosto 2026 a Zurigo | FleaFind,2,1,2,0
8 flea markets on August 2026 in Basel | FleaFind,2,1,2,0
Alpin-Flohmi Luzern – Alle Termine 2026,2,1,2,0
Alpin-Flohmi St. Gallen – All Dates 2026,2,1,3,0
Alpin-Flohmi St. Gallen – Toutes les dates 2026,2,1,3,0
Alpin-Flohmi Yverdon-les-Bains – All Dates 2026,2,1,2,0
Baden Bazaar am 12. Juli 2026 – Öffnungszeiten & Infos,2,1,2,0
"Baden Bazaar on August 9, 2026 – Opening Hours & Info",2,1,3,0
Bergflohmarkt Chur am 14. November 2026 – Öffnungszeiten & Infos,2,1,3,0
